"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C12";"C_1210_3225Metric";1;"10uF";;;
2;"C13";"C_0805_2012Metric";1;"100nF";;;
3;"C14";"C_0805_2012Metric";1;"1uF";;;
4;"C20, C21";"C_0805_2012Metric";2;"22uF";;;
5;"C24, C25, C26";"C_0805_2012Metric";3;"4.7uF";;;
6;"J3";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
7;"J4, J5";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02_Pin";;;
8;"JP2, JP3, JP4";"SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm";3;"Jumper_2_Open";;;
9;"L1";"L_2010_5025Metric";1;"4.7μH";;;
10;"R1, R2";"R_0805_2012Metric";2;"100k";;;
11;"R3";"R_0603_1608Metric";1;"10";;;
12;"R4";"R_0805_2012Metric";1;"0";;;
13;"R5";"R_0603_1608Metric";1;"10k";;;
14;"R6";"R_0603_1608Metric";1;"14k";;;
15;"R7";"R_0603_1608Metric";1;"18k";;;
16;"R8";"R_0805_2012Metric";1;"10.5K";;;
17;"R9";"R_0603_1608Metric";1;"49.9k";;;
18;"R10";"R_0603_1608Metric";1;"5.1k";;;
19;"U1";"TYPE-C-SMD_UC.01.51-11-0017";1;"C9900066641";;;
20;"U2";"PRPAK-8_L3.0-W3.0-P0.65-BL-EP";1;"AONR21307";;;
21;"U3";"TDFN-10_L3.0-W3.0-P0.50-TL-EP";1;"HUSB238";;;
22;"U6";"TSOT-23-6";1;"AP63205WU";;;
